分类	WarehouseCode	FactoryCode	库存行数	库存数量
B	006530	CN	183	2246609.40
B	006600	CN	41	.00
B	006610	CN	699	19628.00
B	006630	CN	996	309297.42
B	006640	CN	716	2577852.00
B	007100	CN	56	620.00
B	007110	CN	473	232.00
B	007120	CN	2718	8586.00
B	007124	BJ	1	.00
B	007140	CN	531	9208.00
B	007150	CN	231	909.00
B	007160	CN	5636	55675.00
B	007230	CN	93	-14324.00
B	007235	CN	82	676.00
B	007700	CN	4229	33.00
B	008100	CN	428	285093.00
B	120799	BJ	23	.00
B	127400	BJ	6	5.00
B	130099	BJ	3	.00
B	144160	CN	63	610.00
B	144220	CN	180	519.00
B	199912	CN	8	51.00
B	216400	BJ	43	1464.00
B	239910	AM	276	29302096.00
B	239920	AM	117	35013373.00
B	239930	AM	177	15762547.00
B	239950	AM	68	7773725.00
B	300400	TJ	150	290607.00
B	300499	TJ	1412	19325.00
B	301489	TJ	211	.00
B	301799	TJ	441	1427.00
B	488888	BJ	1927	1754.00
B	499991	BJ	2703	4025.00
B	499992	BJ	88	.00
B	499993	BJ	88	2.00
B	499995	BJ	7	12.00
B	499996	BJ	6	.00
B	499997	BJ	11	.00
B	499998	BJ	6	.00
B	499999	BJ	5	456.00
B	500400	CN	110	168552.00
B	500789	CN	7727	119784.00
B	501789	CN	538	4699.00
B	560594	CN	2	.00
B	560694	CN	1481	.00
B	588100	TJ	105	10880.00
B	599999	CN	11	210.00
B	600004	CN	1	-2.00
B	600007	CN	1	.00
B	600022	CN	1	-1.00
B	699991	BJ	4	.00
B	712000	CN	1300	21378.00
B	715000	CN	1	.00
B	785000	CN	2070	120925.00
B	900900	CN	8857	31774917.30
